Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
1110,tt7782402,The Storyteller,2022,Drama,"Based on Satyajit Ray's short story ""Golpo Boliye Tarini Khuro"" about originality versus plagiarism.",Anant Mahadevan,"Paresh Rawal, Adil Hussain, Revathi, Tannishtha Chatterjee",https://m.media-amazon.com/images/M/MV5BZjU2MTAxMmItYjI2YS00OWM0LWFlYjAtMWE1Nzk3MWRhOThmXkEyXkFqcGc@._V1_.jpg,6.9,710
1111,tt0418880,Mere Jeevan Saathi,2006,"Drama, Music, Romance","Back in college, Natasha was obsessed with Vicky, who has become a successful rock star. Nothing ever happened between them, however. At the time, Vicky was in love with Anjali, who one ...                See full summary »",Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Ameesha Patel, Gulshan Grover",https://m.media-amazon.com/images/M/MV5BOTk2NTM3NDctMDdiMS00NTcyLTkyNDMtOWRiNTZkOGEyYmIxXkEyXkFqcGc@._V1_.jpg,3.4,1065
1112,tt2339505,Kochadaiiyaan,2014,"Animation, Action, Adventure","A noble warrior seeks revenge against the ruler of his kingdom, who killed his father, and also ends up upsetting the neighboring enemy kingdom's ruler.",Soundarya Rajinikanth Vishagan,"Rajinikanth, Deepika Padukone, R. Sarathkumar, Jackie Shroff",https://m.media-amazon.com/images/M/MV5BZTNkYzVlNzctMmVjYi00Zjk3LThiY2UtZTAwYmRiN2U4OWRhXkEyXkFqcGc@._V1_.jpg,6.2,5454
1113,tt0260411,Tahkhana,1986,"Action, Drama, Horror","A dying Thakur Surjeet Singh bequeaths the entire estate to his son, Raghuvir, disowning the other, Dhurjan, the family's black sheep, who also indulges in black magic. The latter swears to...                See full summary »","Shyam Ramsay, Tulsi Ramsay","Hemant Birje, Kamran Rizvi, Arti Gupta, Preeti Sapru",https://m.media-amazon.com/images/M/MV5BNzVmZDExN2YtMGM3NS00ZTRiLTkxMTEtMTgwN2UxNzczMjk4XkEyXkFqcGc@._V1_.jpg,5.6,276
1114,tt21357600,Bombay,2023,Action,"Ulas Mhatre, an underworld don operates activities with his trusted members Nana, Tatya, and Sherry. Things changes when Tatya goes missing with no evidence.",Sanjay Niranjan,"Gavie Chahal, Deepshikha Nagpal, Danish Bhatt, Ganesh Pai",https://m.media-amazon.com/images/M/MV5BYWY4N2U0NWUtYzhlNS00ZThkLTg3ZGQtNmI5ZTc1ZGE4MGYwXkEyXkFqcGc@._V1_.jpg,,
1115,tt0107321,King Uncle,1993,"Comedy, Drama, Family","When a runaway orphan ends up at the house of a cruel millionaire, she decides to alter his perception of the world.",Rakesh Roshan,"Jackie Shroff, Shah Rukh Khan, Nagma, Sushmita Mukherjee",https://m.media-amazon.com/images/M/MV5BNWQ4NzQwYTEtYzU3NC00OWY3LTg5YzktY2RiOTMwZjY3OTAyXkEyXkFqcGc@._V1_.jpg,5.3,3224
1116,tt1169270,Don,2007,"Action, Crime, Drama",A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.,Raghava Lawrence,"Nagarjuna Akkineni, Anushka Shetty, Raghava Lawrence, Nikhita",https://m.media-amazon.com/images/M/MV5BOThlMjEyYWMtMmM5NS00ZjEyLTg1YTYtNzIxZTA3NTU5NzNhXkEyXkFqcGc@._V1_.jpg,5.8,1628
1117,tt16235600,Chhota Bheem aur Krishna: Mayanagari,2011,"Animation, Action, Fantasy","After Krishna stops Maayandri from releasing her brother, Kirmada, Maayandri decides to exact revenge on him. Later, Bheem and his friends set out to rescue Krishna and defeat Maayandri.",Rajiv Chilaka,Vatsal Dubey,https://m.media-amazon.com/images/M/MV5BMGJlNDAyZmMtM2IwYi00ZGY0LTgyMWQtYzFmNzZmNjUyZjgzXkEyXkFqcGc@._V1_.jpg,7.4,303
1118,tt18377806,Bedhadak,, ,"Romantic triangular LoveStory of 3 characters Karan, Angad and Nimrit,, which gives amazing drama and emotions..!.",Shashank Khaitan,"Lakshya, Vikram Bhatt, Shanaya Kapoor, Gurfateh Pirzada",https://m.media-amazon.com/images/M/MV5BMGNlY2ZkMjMtOTk0NS00Mjg3LTgzZGUtZWU1ZGQyMzUyODIxXkEyXkFqcGc@._V1_.jpg,,
1119,tt3698454,Yaara,2020,"Action, Crime, Drama",Former criminals reunite after years to rescue a friend arrested by the police.,"Manish Soni, Tigmanshu Dhulia","Vidyut Jammwal, Amit Sadh, Mohommed Ali Shah, Kenny Basumatary",https://m.media-amazon.com/images/M/MV5BZTQxODM2MWUtZTVkYi00YWQ5LTlkODItNTc1YWQ2YmRjNmNiXkEyXkFqcGc@._V1_.jpg,5.9,6691
1120,tt8647400,De De Pyaar De,2019,"Comedy, Drama, Romance",A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,Akiv Ali,"Ajay Devgn, Tabu, Rakul Preet Singh, Jimmy Shergill",https://m.media-amazon.com/images/M/MV5BNmU4ZDNmOGQtNzUxMC00MmJkLWE5MDYtZTA4NTNiOTk3OTAwXkEyXkFqcGc@._V1_.jpg,6.5,9363
1121,tt10305616,Malaal,2019,"Action, Drama, Romance","Malaal is the story of Shiva and Astha, two very different people from contrasting backgrounds who experience the innocence of love. Does their love find its destination or do they part ways? Stay on this journey to find out.",Mangesh Hadawale,"Meezaan Jafri, Sharmin Segal, Chinmayee Surve, Anil Gawas",https://m.media-amazon.com/images/M/MV5BMGMxNTA4YjItNTc0NS00N2MwLThkNjktNjFmMTRjNmM4OTM0XkEyXkFqcGc@._V1_.jpg,5.9,1473
1122,tt8705332,Match Of Life,2022,Comedy,"Match of Life"" is based on a cricketer's life who looks like Virat Kohli and what circumstances he faces in day-to-day life being a normal person with a celebrity face.",Aman Sagar,"Rajpal Naurang Yadav, Sudha Chandran, Pankaj Berry, Supriya Karnik",https://m.media-amazon.com/images/M/MV5BNmNkNTBlMzEtNDExNS00Zjk2LTk4YTMtNmI2YTIyNGM5ZmMwXkEyXkFqcGc@._V1_.jpg,7.6,68
1123,tt7647774,Ek Betuke Aadmi Ki Afrah Raatein,2023,Drama,Add a Plot,Sharad Raj,"Pawan Chakravarti, Archanna Guptaa, Adil Hussain, Raghav Jhingran",https://m.media-amazon.com/images/M/MV5BYWVmOWFiMmEtZDVmNi00NjEzLTkxOWEtY2M0ZGI5NDVmM2RiXkEyXkFqcGc@._V1_.jpg,6.2,8
1124,tt1714832,Do Dooni Chaar,2010,"Comedy, Crime, Drama",A middle class family in India tries to buy a new car.,Habib Faisal,"Rishi Kapoor, Neetu Singh, Aditi Vasudev, Archit Krishna",https://m.media-amazon.com/images/M/MV5BZmYyM2I5ZjktMjJiMC00NWQzLWFlNDAtYzA0ZWQwMzE0OTJhXkEyXkFqcGc@._V1_.jpg,7.5,6094
1125,tt0172175,Bhabhi,1991,"Comedy, Drama, Family","Sita lives a middle-class lifestyle with her retired and widowed schoolmaster dad, Ramdas. One day she is molested by Prakash and slaps him. A few days later, wealthy Ghanshyamdas, a former...                See full summary »",Kishore Vyas,"Bhanupriya, Govinda, Juhi Chawla, Gulshan Grover",https://m.media-amazon.com/images/M/MV5BYjZiYTU2MzgtYmY2Ny00YjRiLWEwMGEtMzUxOWYyNzdiMWUyXkEyXkFqcGc@._V1_.jpg,4.3,163
1126,tt0247944,Badal,2000,"Action, Crime, Drama","Badal (Bobby Deol) is a victim of the 1984 riots, brought up by a terrorist (Ashish Vidyarthi). Badal lives with the sole aim of exterminating a police cop Rana (Ashutosh Rana) now the DGP....                See full summary »",Raj Kanwar,"Bobby Deol, Rani Mukerji, Mayuri Kango, Ashutosh Rana",https://m.media-amazon.com/images/M/MV5BNmNmZTBlODYtOTExMS00OGIwLTg0OTktYjEzZGRkMDhmM2E3XkEyXkFqcGc@._V1_.jpg,5,1599
1127,tt3807778,Badla Sherni Ka,2001,Action,"Jungle woman Sherni objects when greedy hunters invade the forest, killing the animals for their tusks and hides.",Kanti Shah,"Sapna Sappu, Amit Pachori, Junior Johnny Lever, Anil Nagrath",https://m.media-amazon.com/images/M/MV5BZDFkZjMxZGQtNTkzNS00NmQ1LWE2ZWItZDhiNGY1NjEyOWJhXkEyXkFqcGc@._V1_.jpg,7.9,42
1128,tt27613132,Awara Pagal Deewana 2,, ,"After faking his death, former killer-for-hire Guru Gulab Khatri retires to Maldives with his new wife, Tina, while his ex-wife, Preeti, settles down in California with Anmol. The peaceful lives of both couples are interrupted by a mafia.",Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Dalip Singh",https://m.media-amazon.com/images/M/MV5BNzJlYmEyOGItYWQzOS00MmMzLTkzOTItOTc1NDI0NDY5YzRhXkEyXkFqcGc@._V1_.jpg,,
1129,tt10318332,Badnaam Gali,2019,Comedy,"It encompasses the journey of a surrogate mother, played by Patralekhaa, and her dynamic relationship with people around her.",Ashwin Shetty,"Patralekhaa Paul, Divyendu Sharma, Dolly Ahluwalia, Paritosh Sand",https://m.media-amazon.com/images/M/MV5BNzY0ZGE1YTItNWE1Mi00MzYxLWI0MzctNmU4Y2E5ZGMwNWQ2XkEyXkFqcGc@._V1_.jpg,6.9,1429
1130,tt2199711,Vishwaroopam,2013,"Action, Thriller","When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",Kamal Haasan,"Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose",https://m.media-amazon.com/images/M/MV5BZjAzNDBlNTMtMWFhMC00NGM4LWFhNzAtNTYwNWNjOTIzODUwXkEyXkFqcGc@._V1_.jpg,7.9,41294
1131,tt13491620,Unpaused,2020,"Drama, Romance","An anthology that brings together 5 unique creators of Hindi cinema featuring stories of love, new beginnings, second chances, and a glimmer of hope. Set and filmed in the times of the Covid-19 lockdown.","Nikkhil Advani, Avinash Arun, Tannishtha Chatterjee, Krishna D.K., Nitya Mehra, Raj Nidimoru","Gulshan Devaiah, Saiyami Kher, Richa Chadha, Ishwak Singh",https://m.media-amazon.com/images/M/MV5BODc2M2Y1YjgtY2VjNi00MTdhLWIzMzItZGU0ZDczMGYxN2YyXkEyXkFqcGc@._V1_.jpg,7,2716
1132,tt23220368,Vedaat Maratha Veer Daudale Saat,,History,Seven valiant warriors who had the sole aim of bringing Shivaji Maharaj's dream of Swarajya to reality.,Mahesh Manjrekar,"Akshay Kumar, Pravin Tarde, Satya Manjrekar, Utkarsh Shinde",https://m.media-amazon.com/images/M/MV5BZDg3OTlkZjEtMDRhZi00MmE4LWFmZWQtODRiOTM4N2Q2Y2RiXkEyXkFqcGc@._V1_.jpg,,
1133,tt18265146,Victoria: Ek Rahasya,2023,"Horror, Thriller",A couple arrives at Hotel Victoria and are greeted by the creepy owner who is the only occupant of the sprawling property. The hotel seems to house a sinister presence that harasses the couple till the secrets of the hotel are unearthed.,"Jeet Ashok, Virajas Kulkarni","Pushkar Jog, Sonalee Kulkarni, Aashay Kulkarni, Heera Sohal",https://m.media-amazon.com/images/M/MV5BMTk0MjJlZDItMjhkMi00Nzk2LWE4N2YtMjBmN2RjMzJmN2EyXkEyXkFqcGc@._V1_.jpg,4.3,175
1134,tt0173369,Tum Mere Ho,1990,"Fantasy, Horror, Romance",Shiva is blessed with magical powers of charming snakes. He falls head-over-heels in love with Paro.,Tahir Hussain,"Aamir Khan, Juhi Chawla, Ajit Vachani, Sudhir Pandey",https://m.media-amazon.com/images/M/MV5BM2E5ZTEzMjktYzUwZi00ZGRmLThmYzUtMTlmODExOGVkZTQ5XkEyXkFqcGc@._V1_.jpg,3.9,1011
1135,tt0326983,Jaani Dushman: Ek Anokhi Kahani,2002,"Action, Fantasy, Horror",A shape-shifting snake exacts vengeance on a group of friends for a crime they did not even commit.,Rajkumar Kohli,"Sunny Deol, Arman Kohli, Manisha Koirala, Akshay Kumar",https://m.media-amazon.com/images/M/MV5BZjc5MTljZmEtODE1Mi00MDdhLTk0MjMtODkyYmU0NzM5YWJlXkEyXkFqcGc@._V1_.jpg,2.7,3983
1136,tt0075669,Amar Akbar Anthony,1977,"Action, Comedy, Drama","Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.",Manmohan Desai,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan, Shabana Azmi",https://m.media-amazon.com/images/M/MV5BNTMzNzE1YTUtYTMyOS00YWNhLWJlZWUtNDMwZjQ0MzQ3MWYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7.4,8310
1137,tt15547882,Spirit,X, ,A gang leader tries to keep a promise made to his dying friend and takes on the other criminal gangs.,Sandeep Reddy Vanga,"Shahid Kapoor, Prabhas, Olivia Morris, Trisha Krishnan",https://m.media-amazon.com/images/M/MV5BOGJkMTYzYzctODkxMi00MjljLWI5MDMtNDg3MTZiZWY1NTU1XkEyXkFqcGc@._V1_.jpg,,
1138,tt0116763,Khamoshi: The Musical,1996,"Drama, Musical, Romance",The daughter of deaf-mute parents seeks their understanding when she discovers a love for music.,Sanjay Leela Bhansali,"Manisha Koirala, Nana Patekar, Salman Khan, Seema Biswas",https://m.media-amazon.com/images/M/MV5BYTlhNzY1NDEtMzY1My00NTgzLWFmMmUtZjcxODlhMjExMGM2XkEyXkFqcGc@._V1_.jpg,7.4,4800
1139,tt0061072,Teesri Kasam,1966,"Comedy, Drama, Romance",A naive bullock-cart driver falls for a traveling courtesan.,Basu Bhattacharya,"Raj Kapoor, Waheeda Rehman, Dulari, Iftekhar",https://m.media-amazon.com/images/M/MV5BYWY0MTJkYTUtYTFhOS00NmRjLWI3ZGItNjQ2ZGQwZDljYjEwXkEyXkFqcGc@._V1_.jpg,7.9,869
1140,tt9680136,Pati Patni Aur Woh,2019,"Comedy, Romance","Chintu Tyagi is an ordinary, middle class man who finds himself torn between his wife and another woman.",Mudassar Aziz,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday, Aparshakti Khurana",https://m.media-amazon.com/images/M/MV5BZjk3ZDhhNWItOGUxYi00NTY1LWIxN2ItNzRiNWZhNTZiYTcyXkEyXkFqcGc@._V1_.jpg,5.8,8726
1141,tt15516226,Chhatriwali,2023,"Comedy, Drama","Sanya is an unemployed chemistry genius looking for a job. However, she also wants to use her knowledge of chemistry to help young minds move beyond the taboos of sex with the right education.",Tejas Prabha Vijay Deoskar,"Rakul Preet Singh, Sumeet Vyas, Satish Kaushik, Dolly Ahluwalia",https://m.media-amazon.com/images/M/MV5BYzJiNjljYTktNzcyNC00ZTQxLWE5OWQtZTU0YjczNTA4MDQ0XkEyXkFqcGc@._V1_.jpg,6.6,11186
1142,tt10515526,Lootcase,2020,"Comedy, Crime","Nandan Kumar comes across a suitcase and discovers it is full of cash. He takes the suitcase and soon finds himself being chased by a notorious gangster, an honest cop and a minister, who want the suitcase at any cost.",Rajesh Krishnan,"Kunal Kemmu, Rasika Dugal, Vijay Raaz, Ranvir Shorey",https://m.media-amazon.com/images/M/MV5BNmVkM2U1YzgtODg3Ni00ZTEzLTkxZDItZWZlYmUxOGY1MDk5XkEyXkFqcGc@._V1_.jpg,7.5,18513
1143,tt0047990,Devdas,1955,"Drama, Musical, Romance",The scion of a wealthy landowner family turns to alcohol and self-pity and slowly self-destructs after class differences force him to break off his relationship with his childhood sweetheart.,Bimal Roy,"Dilip Kumar, Suchitra Sen, Vyjayanthimala, Motilal",https://m.media-amazon.com/images/M/MV5BOWE5YWIyNWEtYzBlOC00MDBlLTgzMjgtYzk1OTJiNjEzM2Y2XkEyXkFqcGc@._V1_.jpg,7.7,2075
1144,tt27028399,Murder Mubarak,,"Comedy, Horror, Mystery",Add a Plot,Homi Adajania,"Vijay Varma, Sara Ali Khan, Pankaj Tripathi, Dimple Kapadia",https://m.media-amazon.com/images/M/MV5BNTNiZDUwYmYtNTY5ZC00ZTRlLWJhODAtOThmMjM2MTUwNWVhXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg,5.9,49487
1145,tt28539592,Rambo,,Action,Add a Plot,Rohit Dhawan,"Tiger Shroff, Janhvi Kapoor",https://m.media-amazon.com/images/M/MV5BNjZhMDc2OTItNjZkMi00NjVkLTljZDYtMjNhODVkZjFhYTVlXkEyXkFqcGc@._V1_.jpg,,
1146,tt23865942,Sarzameen,,"Drama, Mystery, Thriller","A family, in the middle of a rising insurgency in Kashmir, and a terrible secret linking the two..",Kayoze Irani,"Kajol, Prithviraj Sukumaran, Tota Roy Chowdhury, Rajesh Sharma",Not Available,,
1147,tt24245466,Ruslaan,,"Action, Thriller",Plot under wraps.,Katyayan Shivpuri,"Jagapathi Babu, Aayush Sharma, Vidya Malvade, Richard Bhakti Klein",https://m.media-amazon.com/images/M/MV5BZjllMzZjOGYtOTNmNy00YzU4LThmNjItNThjN2RmNWIyODI1XkEyXkFqcGc@._V1_.jpg,3.3,1237
1148,tt0150433,Earth,1998,"Drama, Romance, War",It's 1947 and the borderlines between India and Pakistan are being drawn. A young girl witnesses tragedy as her ayah (nanny) is caught between the love of two men and the rising tide of political and religious violence.,Deepa Mehta,"Aamir Khan, Nandita Das, Rahul Khanna, Maia Sethna",Not Available,7.6,8184
1149,tt17736704,Mister Mummy,2022,"Comedy, Drama",A couple with opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.,Shaad Ali,"Riteish Deshmukh, Genelia Deshmukh, Mahesh Manjrekar, Atul Sharma",https://m.media-amazon.com/images/M/MV5BZjc1MDcxMzgtMDBmNy00OGEyLThiNzgtZDc3ZTRhN2M0OTA3XkEyXkFqcGdeQXVyMTE0MTY2Mzk2._V1_.jpg,2.1,945
1150,tt7317482,Pailwaan,2019,"Action, Drama, Sport","Krishna, a fierce wrestler, faces challenges in his personal life as he tries to fulfill the dream of his father, an ex-wrestler.",S Krishna,"Suniel Shetty, Sushant Singh, Aakanksha Singh, Sudeep",https://m.media-amazon.com/images/M/MV5BMzJiNDM2MjAtZWMwNS00NGZiLWJiY2UtYmYxYmNkMzE5Yzc2XkEyXkFqcGc@._V1_.jpg,6.2,2497
1151,tt14873108,Rajnigandha,2021,"Crime, Drama",Rajnigandha is a heart-wrenching story of a father and daughter.,"Pritesh Srivastava, Pritesh Kumar Srivastava","Monika Agnihotrie, Parul Agrawal, Zoie Aggarwal Ahmed, Veebha Anand",https://m.media-amazon.com/images/M/MV5BOWQ4Zjk1NGUtOTE4Ni00NTRlLTljM2EtNjM2YTZlYjFjMTQ0XkEyXkFqcGc@._V1_.jpg,7.6,36
1152,tt0067183,Haré Rama Haré Krishna,1971,"Drama, Musical","In the background of the rise of the International Hare Krishna movement in the 1970s, is a Montreal-based family of the Jaiswals, consisting of mom, dad, son, Prashant, and daughter, ...                See full summary »",Dev Anand,"Zeenat Aman, Dev Anand, Mumtaz Askari, Baby Guddi",https://m.media-amazon.com/images/M/MV5BYzRkNGM1YjUtNDE0Zi00MDllLTlhYWEtZGQ2MGI4ODAyMjVhXkEyXkFqcGc@._V1_.jpg,7.1,889
1153,tt1411956,Sold,2014,Drama,A girl risks everything for freedom after being trafficked from her mountain village in Nepal to a brothel in India.,Jeffrey D. Brown,"Gillian Anderson, David Arquette, Tillotama Shome, Priyanka Bose",https://m.media-amazon.com/images/M/MV5BMTcwZjRiOTgtNWVhNy00OWY0LTk1MTUtYTFkOTFlNWY4Y2EyXkEyXkFqcGc@._V1_.jpg,6.8,1999
1154,tt0341266,Bhoot,2003,"Horror, Mystery, Thriller","When a married couple moves into a flat that is haunted by a spirit, a series of inexplicable experiences drive the wife to near madness. Now, the husband must protect his wife to save their marriage.",Ram Gopal Varma,"Ajay Devgn, Urmila Matondkar, Nana Patekar, Rekha",https://m.media-amazon.com/images/M/MV5BYzA3YjQzNDQtNTZlOS00MGIwLWJlOTYtZDQ1ZWZmMGJlNjI3XkEyXkFqcGc@._V1_.jpg,6.4,4273
1155,tt15334030,Martin,2023,"Action, Drama, Thriller","A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?",A.P. Arjun,"Dhruva Sarja, Vaibhavi Shandilya, Sriram Reddy Polasane, Nawab Shah",https://m.media-amazon.com/images/M/MV5BZjY3MTk3YzQtYjBhMC00N2FkLThiOTMtOWI2NmIxMDFhMDZhXkEyXkFqcGc@._V1_.jpg,2.4,35230
1156,tt0358053,Pyar Ke Do Pal,1986,"Action, Drama","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before.",Rajiv Mehra,"Mithun Chakraborty, Bindu Desai, Krishan Dhawan, Jagdeep",https://m.media-amazon.com/images/M/MV5BNGY3MTAzNTMtYjUyYi00YTJhLWJlMjktOWFiZDJkMWIzMTU3XkEyXkFqcGc@._V1_.jpg,5.6,141
1157,tt0310254,Tumko Na Bhool Paayenge,2002,"Action, Romance, Thriller",An amnesiac Hindu man remembers his past as a Muslim sharpshooter and an assassin.,Pankaj Parashar,"Pankaj Dheer, Arbaaz Khan, Salman Khan, Sushmita Sen",https://m.media-amazon.com/images/M/MV5BYzAxYzExZjEtYjE4MC00Yzk0LTkwYTEtYTI1OWM5YTRhOGQ5XkEyXkFqcGc@._V1_.jpg,5.6,3485
1158,tt3683702,Fugly,2014,"Drama, Thriller",Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.,Kabir Sadanand,"Jimmy Shergill, Mohit Marwah, Kiara Advani, Vijender Singh",https://m.media-amazon.com/images/M/MV5BNWFjZTJiYjUtNzVkMi00NDBkLTlhYjctNmQ2YmNkMjY1ZmYwXkEyXkFqcGc@._V1_.jpg,4.7,1180
1159,tt0233226,Anokha Bandhan,1982,Drama,"Shyamlal has a happy family with his wife Anu, and step-brother Ram. Anu take care of Ram as her own son. Anu's mother came to her house, who wants that Anu should hate Ram. This creates rift between Anu and Ram.",Mehul Kumar,"Shabana Azmi, Seema Deo, Vishal Desai, Aruna Irani",https://m.media-amazon.com/images/M/MV5BZDczZWMzZWItMTM3ZC00OGFmLWI0MzYtMTE1ZmFiMGRhYTU2XkEyXkFqcGc@._V1_.jpg,6.4,158
1160,tt1773015,Phas Gaye Re Obama,2010,"Comedy, Crime, Drama","Om Shastri, a recession victim comes to India to sell his ancestors property to clear is debt. On reaching he comes to know that selling the property will make his family homeless in India. Later he is kidnapped by goons thinking a rich NRI.",Subhash Kapoor,"Rajat Kapoor, Neha Dhupia, Sanjay Mishra, Manu Rishi Chadha",https://m.media-amazon.com/images/M/MV5BZTA3ZjI3MDgtODA3NC00OWUxLWE3YzctMjFhZjJjZTliMGY5XkEyXkFqcGc@._V1_.jpg,7.5,6088
1161,tt0429289,Tauba Tauba,2004,"Comedy, Drama","15-year-old Sunny (Amin Gazi), the motherless child of business tycoon Mohan Shanbagh (Ayub Khan), is obsessed with sex, partially because of his environment. His sex-crazed principal Mr. ...                See full summary »",T.L.V. Prasad,"Laxmikant Berde, Bobby Darling, Amin Gazi, Vikaas Kalantari",https://m.media-amazon.com/images/M/MV5BMjcxNjY1OTItNjY0OS00NzIzLWFjYTItYTNmNjVjMWEzYmVkXkEyXkFqcGc@._V1_.jpg,2.1,129
1162,tt0073104,Hera Pheri,1976,"Action, Comedy, Crime",Two friends Ajay and Vijay gets separated from each other when they discover secrets about their past in their own ways.,Prakash Mehra,"Saira Banu, Vinod Khanna, Amitabh Bachchan, Sulakshana Pandit",https://m.media-amazon.com/images/M/MV5BNWM1ZTQwNjAtNGQzNC00YzYzLWFmMjQtZmJiZjUwZTcxMWU0XkEyXkFqcGc@._V1_.jpg,6.6,1163
1163,tt3142232,Heropanti,2014,"Action, Romance",Two young people find love despite the violent landscape in which they live.,Sabir Khan,"Tiger Shroff, Kriti Sanon, Parthaa Akerkar, Sunil Grover",https://m.media-amazon.com/images/M/MV5BY2M2ZmE4YTQtODhlYi00ZDc0LWJhYTAtNjkyN2E2MjI0ZTY1XkEyXkFqcGdeQXVyMTY4MjU0NDY3._V1_.jpg,5.2,10674
1164,tt8458202,Pihu,2016,"Drama, Thriller","A two year old must fend for herself when her mother suddenly passes by away while her father is gone for a conference, leaving her prone to danger.",Vinod Kapri,"Rahul Bagga, Pihu Myra Vishwakarma, Prerna Vishwakarma",https://m.media-amazon.com/images/M/MV5BN2E2NGNiMDktOTgyYS00NzZhLWJhNjgtNTM0OThlM2FlYWRlXkEyXkFqcGc@._V1_.jpg,6.7,2955
1165,tt14902008,Oh My Ghost,2022,"Comedy, Horror","When a single women and her two friends reaches in a small town, they begin to discover their connection to the original Ghost and the secret legacy their grandfather left behind",R. Yuvan,"Sunny Leone, Yogi Babu, Motta Rajendran, Sathish",https://m.media-amazon.com/images/M/MV5BNjA2ZWRmMWEtYTdlNS00MmRkLThjMTYtZTk1OTZjNDllNDg1XkEyXkFqcGc@._V1_.jpg,2.2,664
1166,tt0126234,Chamatkar,1992,"Comedy, Drama, Fantasy","When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",Rajiv Mehra,"Naseeruddin Shah, Shah Rukh Khan, Urmila Matondkar, Malvika Tiwari",https://m.media-amazon.com/images/M/MV5BNzkzODdkYjAtM2I5MC00MTFlLTgxYmEtOThiNzlkM2NjNGQyXkEyXkFqcGc@._V1_.jpg,6.5,7361
1167,tt1288638,Dasvidaniya,2008,"Comedy, Drama","A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die.",Shashant Shah,"Vinay Pathak, Sarita Joshi, Rajat Kapoor, Saurabh Shukla",https://m.media-amazon.com/images/M/MV5BYTc4OTU1NGQtMDZhNy00OTQ5LWI2ZDQtZDBiNWViZWQwOTgxXkEyXkFqcGc@._V1_.jpg,7.8,6657
1168,tt0860454,MP3: Mera Pehla Pehla Pyaar,2007,"Comedy, Drama, Musical","Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad, Shekhar, and mom, Renu. He attends St. Lawrence High School and is friendly with Vasu, Sudhir and Javed, and...                See full summary »",Robbie Grewal,"Menekka Arora, Sarthak Bhasin, Sagar Chawla, Hazel Croney",https://m.media-amazon.com/images/M/MV5BYmRhNzUwNGUtODE1OC00ZjM3LTljZTYtMTMxYTg3NTgxYTQ1XkEyXkFqcGc@._V1_.jpg,7,2423
1169,tt0346507,Andaaz,2003,"Drama, Musical, Romance","Loyalty, Respect, commitment and love. What is Love? Loyalty, respect, commitment and friendship. Friendship and Love... Love and Friendship... So much in common, yet so different in emotion!",Raj Kanwar,"Akshay Kumar, Lara Dutta, Priyanka Chopra Jonas, Rajeev Verma",https://m.media-amazon.com/images/M/MV5BOTM5MTQ4MzQ3Ml5BMl5BanBnXkFtZTcwNDI1ODQyMQ@@._V1_.jpg,5.2,2801
1170,tt0388403,Shanakht,1989,Drama,A military officer plane crashes in a lake his life is saved but looses his memory an dis nursed by a college student.,Tinnu Anand,"Amitabh Bachchan, Madhuri Dixit, Madhavi",https://m.media-amazon.com/images/M/MV5BYzY4OTY4M2MtMWJkNS00Mjk1LWI1NjctOTRlZTQzZWEyMTUwXkEyXkFqcGc@._V1_.jpg,4.3,26
1171,tt0150251,Daag: A Poem of Love,1973,"Drama, Music, Romance",Sunil is convicted of murder and is on the run. But the long arm of the law and his past finally catch up with him. Can he outrun his destiny for long?,Yash Chopra,"Rajesh Khanna, Sharmila Tagore, Rakhee Gulzar, Prem Chopra",https://m.media-amazon.com/images/M/MV5BMzg4YjA5NDMtZWY4Mi00NmNmLTg0YmYtZmExOWY4NTRkNDZkXkEyXkFqcGc@._V1_.jpg,7,690
1172,tt10743280,Dostana 2,2021,Comedy,Add a Plot,Collin D'Cunha,"Janhvi Kapoor, Abhishek Banerjee, Lakshya, Kirron Kher",https://m.media-amazon.com/images/M/MV5BNTJlZDVjMDUtMThhMi00ZTdmLTgyYWItNjg5MjA1MTNkMTJkXkEyXkFqcGc@._V1_.jpg,3.6,104
